,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
76,ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
77,ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
78,ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,6,1,INE326B01027,6
79,ALOKINDS,Alok Industries Limited,BE,19-FEB-2020,1,1,INE270A01029,1
80,ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10
81,ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10
82,ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10
83,AMARAJABAT,Amara Raja Batteries Limited,EQ,05-SEP-2003,1,1,INE885A01032,1
84,AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10
85,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10
86,AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10
87,AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2
88,AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10
89,AMIORG,Ami Organics Limited,EQ,14-SEP-2021,10,1,INE00FF01017,10
90,AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2
91,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1
92,ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5
93,ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2
94,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,10,1,INE435A01028,10
95,ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2
96,ANDREWYU,Andrew Yule & Company Limited,EQ,05-AUG-2021,2,1,INE449C01025,2
97,ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10
98,ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10
99,ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10
100,ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,INE02AR01019,10
101,ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1
102,ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10
103,ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10
104,APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10
105,APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10
106,APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2
107,APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10
108,APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2
109,APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2
110,APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,10,1,INE713T01010,10
111,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5
112,APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10
113,APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1
114,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5
115,APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10
116,APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2
117,ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10
118,ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2
119,ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10
120,ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10
